Customer ID,Duration,Purchase Amount,Representative,Date of Call
C0038,72,110,R003,8-Apr-18
C0164,84,0,R003,22-Apr-18
C0137,92,50,R006,25-Jan-18
C0088,96,165,R004,5-Jul-18
C0147,104,65,R003,24-Aug-18
C0248,76,50,R004,19-Aug-18
C0152,72,185,R005,27-Oct-18
C0140,102,140,R003,23-Nov-18
C0154,73,0,R004,16-Dec-18
C0058,94,0,R002,4-Feb-18
C0163,99,170,R002,20-Jul-18
C0252,67,110,R003,3-Aug-18
C0238,72,0,R004,1-Jan-18
C0298,110,0,R005,20-Oct-18
C0098,76,130,R002,1-Mar-18
C0009,76,105,R003,23-May-18
C0279,90,50,R006,21-Apr-18
C0263,103,160,R004,15-Jul-18
C0163,81,0,R007,15-Aug-18
C0049,78,125,R007,8-Nov-18
C0244,76,175,R007,23-May-18
C0083,109,160,R004,1-Apr-18
C0135,121,0,R005,3-Oct-18
C0003,70,60,R006,16-Dec-18
C0094,52,0,R003,28-Nov-18
C0103,103,150,R004,13-Oct-18
C0075,94,115,R007,18-Feb-18
C0166,109,135,R002,3-Mar-18
C0082,116,135,R005,4-Apr-18
C0231,100,80,R004,28-Jul-18
C0224,97,100,R006,6-Oct-18
C0251,139,165,R003,24-Aug-18
C0128,83,190,R001,15-Aug-18
C0004,57,200,R002,19-Apr-18
C0154,113,170,R003,28-Sep-18
C0296,105,170,R006,15-Nov-18
C0172,122,0,R006,12-May-18
C0297,102,55,R005,29-Jun-18
C0229,96,70,R004,27-Sep-18
C0046,122,50,R004,29-Mar-18
C0298,111,170,R003,22-Jan-18
C0052,75,160,R003,26-May-18
C0148,75,100,R006,18-Jul-18
C0047,91,105,R004,10-May-18
C0142,76,55,R007,26-Aug-18
C0130,128,0,R001,16-Jun-18
C0175,115,105,R005,24-Mar-18
C0289,88,170,R006,15-Jan-18
C0298,37,0,R001,12-Jan-18
C0277,88,105,R007,26-Dec-18
C0154,67,135,R007,28-Jul-18
C0159,87,140,R005,27-Oct-18
C0146,71,185,R004,21-Dec-18
C0106,87,75,R003,6-Jul-18
C0231,117,0,R001,1-Jun-18
C0042,93,0,R004,23-Dec-18
C0062,61,115,R002,10-Nov-18
C0151,65,60,R007,28-Jul-18
C0241,94,0,R005,19-Jul-18
C0138,108,135,R002,19-Apr-18
C0265,50,125,R004,14-Sep-18
C0257,113,0,R001,4-Mar-18
C0220,106,110,R005,22-Aug-18
C0177,105,0,R006,20-Jan-18
C0169,85,0,R003,2-Mar-18
C0050,118,120,R006,14-Sep-18
C0100,62,80,R006,26-Jul-18
C0122,100,180,R006,16-Aug-18
C0197,81,195,R001,6-Sep-18
C0248,98,170,R006,11-May-18
C0263,70,110,R007,30-Aug-18
C0206,109,115,R001,3-Nov-18
C0086,110,0,R006,28-Jul-18
